ID,X,Y
0,528.1600750293376,-24.42806951828976
1,459.898569161021,280.97997274705654
2,186.53167925650996,174.51475011131538
3,238.38835399549686,292.08565374951763
4,329.52261670850135,416.41807394274724
5,-219.82782448740733,256.5188413270363
6,269.6370468267343,-34.62590711673704
7,85.2029844421228,-138.49531882115667
8,32.73494739726104,420.0038788034574
9,174.56542863544973,398.6825382328483
10,160.30266311772152,364.9467183431412
11,116.18386817468078,89.03267256905511
12,258.59832615401325,269.22429635518375
13,-2.59460639820972,254.6780272413855
14,294.67246161105504,231.48003893148453
15,444.4578055444268,337.5610415711751
16,39.26343519095036,-27.90668797262495
17,88.78268686861065,164.99532003910335
18,456.56798443733703,272.16865747862613
19,180.243322979295,62.092457779015746
20,640.8867203171272,-140.59985610291045
21,347.2077384896727,11.063760413199816
22,300.14465874425866,540.8105314415302
23,103.50678767436943,-142.602974877882
24,386.2866479350196,-17.63442171081931
25,102.26702452514722,162.9082816207065
26,-127.45201336206406,335.46328019177383
27,336.61882030557973,305.66855562611437
28,77.59986070918839,310.2981325230136
29,87.27930243149461,226.80564587618335
30,336.5698573137671,496.10040289655757
31,217.01041568063494,424.1808401928676
32,218.93752098957737,128.25036965102646
33,1011.9518941350534,192.94070470104128
34,1093.3047817012525,502.26757984622185
35,1169.8292660457555,112.9438389143333
36,1039.0415260848208,234.67509994846338
37,1135.0369154614573,183.06262649031152
38,704.8060973064887,370.73882178991795
39,980.596003926126,2.3600025166436183
40,913.9407682390383,139.08166286938393
41,836.9875413278296,198.14117772358946
42,1016.7422803430289,153.1728457689294
43,867.8603972826411,300.8804418123452
44,789.607352885376,259.69214641778836
45,992.6142470931303,466.02292072948455
46,681.0531803766995,-166.23077554765706
47,755.8576608977035,442.66127298634126
48,804.6129003460486,321.09771380710924
49,743.7410469282611,-10.912454439487902
50,878.6062311285626,-173.07532445636406
51,947.1646962354489,335.2198108899879
52,912.7847581254214,151.91473044413985
53,871.8617530478026,291.9040439156822
54,841.8527179022886,-125.11066073366771
55,995.3562865984877,207.09079213751272
56,505.8622549263346,82.44110250945394
57,770.796231961517,368.88699035144793
58,577.4840926952479,145.42297240315864
59,1377.6614472567248,255.48267866870447
60,836.1529636071303,342.31252315062284
61,619.3466637060816,31.952796670562293
62,789.0881313572891,529.4512287619332
63,767.619575900617,-106.0661012732732
64,639.188925395659,258.1586918533448
65,953.9537653140399,258.1759633307035
66,299.80521889950717,738.7219038786694
67,407.7367640269706,799.9691027370906
68,456.3829575497877,851.2595576544335
69,341.35304110483526,937.4453189321716
70,374.9846288425466,403.46121846369715
71,582.1420308387051,1162.7553267994288
72,257.684826907459,1035.2016309001435
73,551.2310836398024,420.12024480442386
74,444.8407131579362,770.0299796582626
75,689.2435541643815,930.7583886373859
76,464.23754860650257,1013.5341489731212
77,728.8817346062359,864.6869919798098
78,1027.1091965175533,598.5799389864582
79,314.38493714051515,859.3990272485333
80,571.0336430811967,677.4253850704987
81,567.8624334560915,585.4148700173185
82,349.703455641926,860.7099685129813
83,402.5014897950563,758.7091766647379
84,469.57135431580815,803.318882476186
85,582.6503782900592,1000.0125371542241
86,673.3706764590144,1037.1223234276324
87,530.7763914215751,540.9882784555467
88,270.5108949202268,650.5897067145529
89,281.2988417137101,977.2842099914587
90,614.3481632548354,615.2789403925967
91,381.2970556092416,668.459412437408
92,526.3307597509367,159.20067982271905
93,938.0933913262127,784.7859536452588
94,467.0196210019979,787.0576107199759
95,413.71127175538777,800.9256687817021
96,853.9838815796827,747.3586623065605
97,566.2081549125304,836.4819063336985
98,726.5713453010374,546.4082787190678
